City,Price,Bedroom,Bathroom,Floors,Year,Area,Road Width,Balcony,Drainage,Water Supply,Water Tank,East,North,North East,North West,South,South East,South West,West
3,29000000,3,3,2.0,2070.0,4.5,6.1,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0
16,31000000,3,4,3.0,2018.0,3.0,6.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
16,42500000,0,0,3.0,2058.0,5.3125,8.84,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
16,37500000,5,5,3.0,2058.0,5.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0
16,65550000,4,3,3.0,2058.0,64.0,6.1,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0
16,65550000,4,5,3.0,2076.0,9.9375,3.96,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1
19,25000000,3,4,2.0,2076.0,4.5,3.96,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0
3,32500000,4,4,2.0,2017.0,7.0,6.1,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0
16,65550000,0,0,3.0,2058.0,31.0,6.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
7,7700000,4,2,2.0,2017.0,6.0,4.88,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0
16,20000000,7,3,2.5,2067.0,4.3125,3.05,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1
3,19000000,7,4,3.5,2076.0,3.0,6.1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1
16,33500000,0,4,3.0,2058.0,4.0,5.49,1.0,1.0,1.0,1.0,0,0,0,0,0,1,0,0
16,37000000,0,0,3.0,2058.0,5.125,3.96,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0
16,36000000,0,0,3.0,2058.0,7.5,6.1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
19,12500000,2,1,1.0,2076.0,3.0,6.1,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1
19,19500000,5,3,2.5,2076.0,3.25,6.1,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0
19,22000000,5,3,2.5,2076.0,3.5,6.1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1
19,21500000,4,3,2.5,2076.0,4.0,6.1,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0
19,19500000,4,3,2.5,2076.0,3.5,6.1,1.0,1.0,1.0,1.0,0,0,1,0,0,0,0,0
19,19000000,4,3,2.5,2076.0,3.0,3.96,1.0,1.0,1.0,0.0,0,0,0,0,1,0,0,0
19,18000000,4,3,2.5,2076.0,3.0,3.96,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
16,37000000,8,5,3.0,2077.0,5.4375,3.66,1.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0
16,34000000,6,3,3.0,2077.0,4.0,3.66,1.0,1.0,0.0,1.0,0,0,0,0,1,0,0,0
6,800000,2,1,1.0,2020.0,5.1875,9.75,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
16,26000000,8,4,3.0,2075.0,4.125,4.88,1.0,0.0,1.0,1.0,0,0,0,0,1,0,0,0
16,22000000,5,3,3.0,2058.0,6.5,3.05,1.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0
16,23000000,7,3,3.0,2058.0,4.0,3.05,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0
16,15500000,5,2,3.0,2058.0,3.625,3.96,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0
19,23500000,6,4,3.0,2020.0,3.3,3.05,0.0,1.0,1.0,1.0,0,1,0,0,0,0,0,0
16,57500000,0,0,3.0,2058.0,6.25,3.66,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0
